ID   | Activity                                                                                 | Trials | Duration 
D01  | Walking slowly                                                                           | 1      | 100s     
D02  | Walking quickly                                                                          | 1      | 100s     
D03  | Jogging slowly                                                                           | 1      | 100s     
D04  | Jogging quickly                                                                          | 1      | 100s     
D05  | Walking upstairs and downstairs slowly                                                   | 5      | 25s      
D06  | Walking upstairs and downstairs quickly                                                  | 5      | 25s      
D07  | Slowly sit in a half height chair, wait a moment, and up slowly                          | 5      | 12s      
D08  | Quickly sit in a half height chair, wait a moment, and up quickly                        | 5      | 12s      
D09  | Slowly sit in a low height chair, wait a moment, and up slowly                           | 5      | 12s      
D10  | Quickly sit in a low height chair, wait a moment, and up quickly                         | 5      | 12s      
D11  | Sitting a moment, trying to get up, and collapse into a chair                            | 5      | 12s      
D12  | Sitting a moment, lying slowly, wait a moment, and sit again                             | 5      | 12s      
D13  | Sitting a moment, lying quickly, wait a moment, and sit again                            | 5      | 12s      
D15  | Standing, slowly bending at knees, and getting up                                        | 5      | 12s      
D16  | Standing, slowly bending without bending knees, and getting up                           | 5      | 12s      
D17  | Standing, get into a car, remain seated and get out of the car                           | 5      | 25s      
D18  | Stumble while walking                                                                    | 5      | 12s      
D19  | Gently jump without falling (trying to reach a high object)                              | 5      | 12s      
F01  | Fall forward while walking caused by a slip                                              | 5      | 15s      
F02  | Fall backward while walking caused by a slip                                             | 5      | 15s      
F03  | Lateral fall while walking caused by a slip                                              | 5      | 15s      
F04  | Fall forward while walking caused by a trip                                              | 5      | 15s      
F05  | Fall forward while jogging caused by a trip                                              | 5      | 15s      
F06  | Vertical fall while walking caused by fainting                                           | 5      | 15s      
F07  | Fall while walking, with use of hands in a table to dampen fall, caused by fainting      | 5      | 15s      
F08  | Fall forward when trying to get up                                                       | 5      | 15s      
F09  | Lateral fall when trying to get up                                                       | 5      | 15s      
F10  | Fall forward when trying to sit down                                                     | 5      | 15s      
F11  | Fall backward when trying to sit down                                                    | 5      | 15s      
F12  | Lateral fall when trying to sit down                                                     | 5      | 15s      
F13  | Fall forward while sitting, caused by fainting or falling asleep                         | 5      | 15s      
F14  | Fall backward while sitting, caused by fainting or falling asleep                        | 5      | 15s      
F15  | Lateral fall while sitting, caused by fainting or falling asleep                         | 5      | 15s      
